a	a!
dubinina	d u! b' i n' i n a
duhe	d u! h' i
dus'a	d u! s' a
duuhu	d u:! h u
duuhuh	d u:! h u h
duuhul	d u:! h u l
duumaimah	d u:! m a j m a h
duumaine	d u:! m a j n' e
duumaiče	d u:! m a j ch e
duumaičen	d u:! m a j ch e n
duumaičet	d u:! m a j ch e t
duumaiči	d u:! m a j ch i
duumaičin	d u:! m a j ch i n
duumaiččou	d u:! m a j ch o u
duumaiččou	d u:! m a j ch ch o u
duumih	d u:! m' i h
duumii	d u:! m' i:
dvesti	d v' e! s t' i
dviškat	d v' i! sh k a t
dviškoi	d v' i! sh k o j
dvišku	d v' i! sh k u
dviškua	d v' i! sh k u a
dvoril	d v o! r' i l
dyviä	d' y! v' i ae
däi	d' ae! j
däimmö	d' ae! j m' oe
däimmö	d' ae! j m' m' oe
däimö	d' ae! j m' oe
därilleh	d' ae! r' i l' e h
därilleh	d' ae! r' i l' l' e h
därvie	d' ae! r v' i e
ebelöižes	e! b' e l' oe j zh e s
ebäjallas	e! b' ae j a l a s
ebäjallas	e! b' ae j a l l a s
edeh	e! d' e h
edehpäi	e! d' e h p' ae j
edukädeh	e! d u k' ae d' e h
ehki	e! h k' i
ehti	e! h t' i
ehtie	e! h t' i e
ehtiimmo	e! h t' i: m o
ehtiimmo	e! h t' i: m m o
ehtil	e! h t' i l
ehtimmö	e! h t' i m' oe
ehtimmö	e! h t' i m' m' oe
ehtin	e! h t' i n
ehtine	e! h t' i n' e
ehtinet	e! h t' i n' e t
ehtinyh	e! h t' i n' y h
ehtitty	e! h t' i t' y
ehtitty	e! h t' i t' t' y
ehtiä	e! h t' i ae
ehtypimei	e! h t' y p' i m' e j
ehtäkse	e! h t' ae k s' e
ehtäl	e! h t' ae l
ehtän	e! h t' ae n
ehtäs	e! h t' ae s
ehtässäh	e! h t' ae s' ae h
ehtässäh	e! h t' ae s' s' ae h
ehtät	e! h t' ae t
ei	e! j
eibo	e! j b o
eiga	e! j g a
eigo	e! j g o
eihäi	e! j h' ae j
eiku	e! j k u
eisto	e! j s t o
eisty	e! j s t' y
eistyttih	e! j s t' y t' i h
eistyttih	e! j s t' y t' t' i h
eistyy	e! j s t' y:
eistyö	e! j s t' y oe
ekologien	e! k o l o g' i e n
ekolougieh	e! k o l o u g' i e h
ekolougien	e! k o l o u g' i e n
ekskursien	e! k s k u r s' i e n
ekspedicies	e! k s p' e d' i ts i^ e s
ekspeditsieh	e! k s p' e d' i t s' i e h
eksportnoi	e! k s p o r t n o j
ekzamenoi	e! k z a m' e n o j
el'ementov	y l' i m' e! n t a f
elaigu	e! l a j g u
elaigua	e! l a j g u a
elaiguozah	e! l a j g u o z a h
elaijal	e! l a j a l
elaijan	e! l a j a n
elaijas	e! l a j a s
elavui	e! l a v u j
električeskoi	e! l' e k t r' i ch e s k o j
električesvan	e! l' e k t r' i ch e s v a n
elektrodviškat	e! l' e k t r o d v' i sh k a t
elektrosnabženije	e! l' e k t r o s n a b zh e n' i j e
elettih	e! l' e t' i h
elettih	e! l' e t' t' i h
elettihgi	e! l' e t' i h g' i
elettihgi	e! l' e t' t' i h g' i
elettäs	e! l' e t' ae s
elettäs	e! l' e t' t' ae s
elettäväkse	e! l' e t' ae v' ae k s' e
elettäväkse	e! l' e t' t' ae v' ae k s' e
elettävänny	e! l' e t' ae v' ae n' y
elettävänny	e! l' e t' t' ae v' ae n' y
elettävänny	e! l' e t' ae v' ae n' n' y
elettävänny	e! l' e t' t' ae v' ae n' n' y
eletäh	e! l' e t' ae h
eli	e! l' i
eliimmo	e! l' i: m o
eliimmo	e! l' i: m m o
eliimmö	e! l' i: m' oe
eliimmö	e! l' i: m' m' oe
elimmo	e! l' i m o
elimmo	e! l' i m m o
elimmö	e! l' i m' oe
elimmö	e! l' i m' m' oe
elin	e! l' i n
elittö	e! l' i t' oe
elittö	e! l' i t' t' oe
eliä	e! l' i ae
ellendettihhäi	e! l' e n d' e t' i h' ae j
ellendettihhäi	e! l' l' e n d' e t' i h' ae j
ellendettihhäi	e! l' e n d' e t' t' i h' ae j
ellendettihhäi	e! l' l' e n d' e t' t' i h' ae j
ellendettihhäi	e! l' e n d' e t' i h' h' ae j
ellendettihhäi	e! l' l' e n d' e t' i h' h' ae j
ellendettihhäi	e! l' e n d' e t' t' i h' h' ae j
ellendettihhäi	e! l' l' e n d' e t' t' i h' h' ae j
ellendetty	e! l' e n d' e t' y
ellendetty	e! l' l' e n d' e t' y
ellendetty	e! l' e n d' e t' t' y
ellendetty	e! l' l' e n d' e t' t' y
ellendettäs	e! l' e n d' e t' ae s
ellendettäs	e! l' l' e n d' e t' ae s
ellendettäs	e! l' e n d' e t' t' ae s
ellendettäs	e! l' l' e n d' e t' t' ae s
ellendettävy	e! l' e n d' e t' ae v' y
ellendettävy	e! l' l' e n d' e t' ae v' y
ellendettävy	e! l' e n d' e t' t' ae v' y
ellendettävy	e! l' l' e n d' e t' t' ae v' y
ellendetä	e! l' e n d' e t' ae
ellendetä	e! l' l' e n d' e t' ae
ellendetäh	e! l' e n d' e t' ae h
ellendetäh	e! l' l' e n d' e t' ae h
ellendi	e! l' e n d' i
ellendi	e! l' l' e n d' i
ellendin	e! l' e n d' i n
ellendin	e! l' l' e n d' i n
ellendiä	e! l' e n d' i ae
ellendiä	e! l' l' e n d' i ae
ellendysty	e! l' e n d' y s t' y
ellendysty	e! l' l' e n d' y s t' y
ellendä	e! l' e n d' ae
ellendä	e! l' l' e n d' ae
ellendämmö	e! l' e n d' ae m' oe
ellendämmö	e! l' l' e n d' ae m' oe
ellendämmö	e! l' e n d' ae m' m' oe
ellendämmö	e! l' l' e n d' ae m' m' oe
ellendämäh	e! l' e n d' ae m' ae h
ellendämäh	e! l' l' e n d' ae m' ae h
ellendännyh	e! l' e n d' ae n' y h
ellendännyh	e! l' l' e n d' ae n' y h
ellendännyh	e! l' e n d' ae n' n' y h
ellendännyh	e! l' l' e n d' ae n' n' y h
ellendät	e! l' e n d' ae t
ellendät	e! l' l' e n d' ae t
ellendäš	e! l' e n d' ae sh
ellendäš	e! l' l' e n d' ae sh
elo	e! l o
eloikanzu	e! l o j k a n z u
eloine	e! l o j n' e
eloisijas	e! l o j s' i j a s
eloksel	e! l o k s' e l
eloksen	e! l o k s' e n
elokses	e! l o k s' e s
elokuun	e! l o k u: n
eloloin	e! l o l o j n
elon	e! l o n
elos	e! l o s
eloskerras	e! l o s k' e r a s
eloskerras	e! l o s k' e r r a s
elostamah	e! l o s t a m a h
elostu	e! l o s t u
elostua	e! l o s t u a
elostusystävy	e! l o s t u s' y s t' ae v' y
elovunnuh	e! l o v u n u h
elovunnuh	e! l o v u n n u h
elukku	e! l u k u
elukku	e! l u k k u
elvyttiä	e! l v' y t' i ae
elvyttiä	e! l v' y t' t' i ae
elä	e! l' ae
eläimet	e! l' ae j m' e t
eläissäh	e! l' ae j s' ae h
eläissäh	e! l' ae j s' s' ae h
eläjes	e! l' ae j e s
eläjii	e! l' ae j i:
eläjile	e! l' ae j i l' e
eläjiä	e! l' ae j i ae
eläjäs	e! l' ae j ae s
eläjät	e! l' ae j ae t
eläkkehel	e! l' ae k' e h' e l
eläkkehel	e! l' ae k' k' e h' e l
eläkkelaižet	e! l' ae k' e l a j zh e t
eläkkelaižet	e! l' ae k' k' e l a j zh e t
eläkkiä	e! l' ae k' i ae
eläkkiä	e! l' ae k' k' i ae
elämmö	e! l' ae m' oe
elämmö	e! l' ae m' m' oe
elämmögi	e! l' ae m' oe g' i
elämmögi	e! l' ae m' m' oe g' i
elämäh	e! l' ae m' ae h
elämän	e! l' ae m' ae n
elämästämme	e! l' ae m' ae s t' ae m' e
elämästämme	e! l' ae m' ae s t' ae m' m' e
elän	e! l' ae n
eländykohtan	e! l' ae n d' y k o h t a n
eländypaikkua	e! l' ae n d' y p a j k u a
eländypaikkua	e! l' ae n d' y p a j k k u a
eländysijua	e! l' ae n d' y s' i j u a
eläne	e! l' ae n' e
elänyh	e! l' ae n' y h
elät	e! l' ae t
elätin	e! l' ae t' i n
elätti	e! l' ae t' i
elätti	e! l' ae t' t' i
elättiliägärinny	e! l' ae t' i l' i ae g' ae r' i n' y
elättiliägärinny	e! l' ae t' t' i l' i ae g' ae r' i n' y
elättiliägärinny	e! l' ae t' i l' i ae g' ae r' i n' n' y
elättiliägärinny	e! l' ae t' t' i l' i ae g' ae r' i n' n' y
elättiä	e! l' ae t' i ae
elättiä	e! l' ae t' t' i ae
elättö	e! l' ae t' oe
elättö	e! l' ae t' t' oe
eläy	e! l' ae y
elää	e! l' ae:
eläžin	e! l' ae zh i^ n
em	e! m
emmo	e! m o
emmo	e! m m o
emmogo	e! m o g o
emmogo	e! m m o g o
emmohäi	e! m o h' ae j
emmohäi	e! m m o h' ae j
emzimäin'e	e! m z' i m' ae j n' e
emändy	e! m' ae n d' y
emändäle	e! m' ae n d' ae l' e
emändän	e! m' ae n d' ae n
emändäžet	e! m' ae n d' ae zh e t
en	e! n
enbo	e! n b o
endiine	e! n d' i: n' e
endine	e! n d' i n' e
endizel	e! n d' i z' e l
endižeh	e! n d' i zh e h
endižes	e! n d' i zh e s
endižet	e! n d' i zh e t
endižien	e! n d' i zh i^ e n
endižii	e! n d' i zh i^:
endižil	e! n d' i zh i^ l
energiedu	e! n' e r g' i e d u
englannin	e! n g l a n' i n
englannin	e! n g l a n' n' i n
englantin	e! n g l a n t' i n
engo	e! n g o
enhäi	e! n h' ae j
enimih	e! n' i m' i h
enimite	e! n' i m' i t' e
enimytteh	e! n' i m' y t' e h
enimytteh	e! n' i m' y t' t' e h
enimyölleh	e! n' i m' y oe l' e h
enimyölleh	e! n' i m' y oe l' l' e h
enimyötteh	e! n' i m' y oe t' e h
enimyötteh	e! n' i m' y oe t' t' e h
enimät	e! n' i m' ae t
enin	e! n' i n
enne	e! n' e
enne	e! n' n' e
ennegi	e! n' e g' i
ennegi	e! n' n' e g' i
ennehäi	e! n' e h' ae j
ennehäi	e! n' n' e h' ae j
ennem	e! n' e m
ennem	e! n' n' e m
ennen	e! n' e n
ennen	e! n' n' e n
ennenhäi	e! n' e n h' ae j
ennenhäi	e! n' n' e n h' ae j
ennepäi	e! n' e p' ae j
ennepäi	e! n' n' e p' ae j
ennevahnalliine	e! n' e v a h n a l' i: n' e
ennevahnalliine	e! n' n' e v a h n a l' i: n' e
ennevahnalliine	e! n' e v a h n a l' l' i: n' e
ennevahnalliine	e! n' n' e v a h n a l' l' i: n' e
ennevahnalližet	e! n' e v a h n a l' i zh e t
ennevahnalližet	e! n' n' e v a h n a l' i zh e t
ennevahnalližet	e! n' e v a h n a l' l' i zh e t
ennevahnalližet	e! n' n' e v a h n a l' l' i zh e t
ennevahnas	e! n' e v a h n a s
ennevahnas	e! n' n' e v a h n a s
ennustamattomal	e! n u s t a m a t o m a l
ennustamattomal	e! n n u s t a m a t o m a l
ennustamattomal	e! n u s t a m a t t o m a l
ennustamattomal	e! n n u s t a m a t t o m a l
enzi	e! n z' i
enziaijal	e! n z' i a j a l
enziaskelii	e! n z' i a s k' e l' i:
enzikse	e! n z' i k s' e
enzimäi	e! n z' i m' ae j
enzimäine	e! n z' i m' ae j n' e
enzimäizenny	e! n z' i m' ae j z' e n' y
enzimäizenny	e! n z' i m' ae j z' e n' n' y
enzimäzekse	e! n z' i m' ae z' e k s' e
enzimäzel	e! n z' i m' ae z' e l
enzimäzen	e! n z' i m' ae z' e n
enzimäzet	e! n z' i m' ae z' e t
enzimäzis	e! n z' i m' ae z' i s
enzimäšty	e! n z' i m' ae sh t' y
enzimäžeh	e! n z' i m' ae zh e h
enzimäžel	e! n z' i m' ae zh e l
enzimäžen	e! n z' i m' ae zh e n
enzimäžes	e! n z' i m' ae zh e s
enzimäžikse	e! n z' i m' ae zh i^ k s' e
enzipäivin	e! n z' i p' ae j v' i n
enäm	e! n' ae m
enämbi	e! n' ae m b' i
enämbigi	e! n' ae m b' i g' i
enämbiä	e! n' ae m b' i ae
enämbä	e! n' ae m b' ae
enämbäine	e! n' ae m b' ae j n' e
enämbäl	e! n' ae m b' ae l
enämbän	e! n' ae m b' ae n
enämbää	e! n' ae m b' ae:
erakonnu	e! r a k o n u
erakonnu	e! r a k o n n u
eri	e! r' i
erilastu	e! r' i l a s t u
eriluaduine	e! r' i l u a d u j n' e
eriluadužet	e! r' i l u a d u zh e t
erinomažet	e! r' i n o m a zh e t
ero	e! r o
eroitannuh	e! r o j t a n u h
eroitannuh	e! r o j t a n n u h
eroittua	e! r o j t u a
eroittua	e! r o j t t u a
erotti	e! r o t' i
erotti	e! r o t' t' i
erovunnuh	e! r o v u n u h
erovunnuh	e! r o v u n n u h
erovutah	e! r o v u t a h
erähih	e! r' ae h' i h
erähii	e! r' ae h' i:
erähis	e! r' ae h' i s
erähiči	e! r' ae h' i ch i
erähäh	e! r' ae h' ae h
erähän	e! r' ae h' ae n
erähänny	e! r' ae h' ae n' y
erähänny	e! r' ae h' ae n' n' y
erähäs	e! r' ae h' ae s
erähät	e! r' ae h' ae t
eräs	e! r' ae s
erästy	e! r' ae s t' y
esse	e! s' e
esse	e! s' s' e
et	e! t
etažal	e! t a zh a l
etgo	e! t g o
ethäi	e! t h' ae j
etto	e! t o
etto	e! t t o
ettohäi	e! t o h' ae j
ettohäi	e! t t o h' ae j
etuažu	e! t u a zh u
eule	e! u l' e
eulo	e! u l o
euluh	e! u l u h
eulut	e! u l u t
evakointikeskus	e! v a k o j n t' i k' e s k u s
evakospäi	e! v a k o s p' ae j
evakuacieh	e! v a k u a ts i^ e h
evakuatsieh	e! v a k u a t s' i e h
evakuatsii	e! v a k u a t s' i:
evähien	e! v' ae h' i e n
eväspoimičču	e! v' ae s p o j m' i ch u
eväspoimičču	e! v' ae s p o j m' i ch ch u
ezikunnasgi	e! z' i k u n a s g' i
ezikunnasgi	e! z' i k u n n a s g' i
ezimerkikse	e! z' i m' e r k' i k s' e
ezimiehenny	e! z' i m' i e h' e n' y
ezimiehenny	e! z' i m' i e h' e n' n' y
ezimies	e! z' i m' i e s
ezimäizenny	e! z' i m' ae j z' e n' y
ezimäizenny	e! z' i m' ae j z' e n' n' y
ezityksis	e! z' i t' y k s' i s
ezmäi	e! z m' ae j
ezmäine	e! z m' ae j n' e
ezmäizekse	e! z m' ae j z' e k s' e
ezmäizen	e! z m' ae j z' e n
ezmäzekse	e! z m' ae z' e k s' e
ezmäžesti	e! z m' ae zh e s t' i
ezmäžikse	e! z m' ae zh i^ k s' e
ečii	e! ch i:
ečiimmö	e! ch i: m' oe
ečiimmö	e! ch i: m' m' oe
ečikkiä	e! ch i k' i ae
ečikkiä	e! ch i k' k' i ae
ečimmö	e! ch i m' oe
ečimmö	e! ch i m' m' oe
ečin	e! ch i n
ečindy	e! ch i n d' y
ečitteliheze	e! ch i t' e l' i h' e z' e
ečitteliheze	e! ch i t' t' e l' i h' e z' e
ečittih	e! ch i t' i h
ečittih	e! ch i t' t' i h
ečitäh	e! ch i t' ae h
ečči	e! ch i
ečči	e! ch ch i
eččie	e! ch i e
eččie	e! ch ch i e
eččii	e! ch i:
eččii	e! ch ch i:
eččijälle	e! ch i j ae l' e
eččijälle	e! ch ch i j ae l' e
eččijälle	e! ch i j ae l' l' e
eččijälle	e! ch ch i j ae l' l' e
eččimäh	e! ch i m' ae h
eččimäh	e! ch ch i m' ae h
eččimättäh	e! ch i m' ae t' ae h
eččimättäh	e! ch ch i m' ae t' ae h
eččimättäh	e! ch i m' ae t' t' ae h
eččimättäh	e! ch ch i m' ae t' t' ae h
eččiu	e! ch i u
eččiu	e! ch ch i u
eččoh	e! ch o h
eččoh	e! ch ch o h
f'odor	f' o! d o r
f'odorova	f' o! d o r o v a
f'odorovič	f' o! d o r o v' i ch
f'odorovičua	f' o! d o r o v' i ch u a
f'odorovna	f' o! d o r o v n a
f'oudor	f' o! u d o r
famiiliet	f a! m' i: l' i e t
famiilii	f a! m' i: l' i:
famil'no	f a! m' i l' n o
familien	f a! m' i l' i e n
familijan	f a! m' i l' i j a n
faneras	f a! n' e r a s
fanerkubutkas	f a! n' e r k u b u t k a s
fanernoit	f a! n' e r n o j t
fatierah	f a! t' i e r a h
fatieru	f a! t' i e r u
fed'an	f' e! d' a n
fedulin	f' e! d u l' i n
fedulis	f' e! d u l' i s
fermal	f' e! r m a l
fermer	f' e! r m' e r
fermeran	f' e! r m' e r a n
fermerat	f' e! r m' e r a t
festivaal'al	f' e! s t' i v a: l' a l
festivaal'at	f' e! s t' i v a: l' a t
festivaalis	f' e! s t' i v a: l' i s
festivual'al	f' e! s t' i v u a l' a l
fil'oin	f' i! l' o j n
fil'troikse	f' i! l' t r o j k s' e
filosofii	f' i! l o s o f' i:
filosofine	f' i! l o s o f' i n' e
filosofu	f' i! l o s o f u
finskoi	f' i! n s k o j
fiziekkaa	f' i! z' i e k a:
fiziekkaa	f' i! z' i e k k a:
fodorovič	f o! d o r o v' i ch
fodorovičal	f o! d o r o v' i ch a l
forman	f o! r m a n
formas	f o! r m a s
formusovis	f o! r m u s o v' i s
forsittih	f o! r s' i t' i h
forsittih	f o! r s' i t' t' i h
fotokartočku	f o! t o k a r t o ch k u
fotokuvanke	f o! t o k u v a n k' e
fotokuvii	f o! t o k u v' i:
fufaikan	f u! f a j k a n
fufaikoin	f u! f a j k o j n
fufaikois	f u! f a j k o j s
fufaiku	f u! f a j k u
fundamentua	f u! n d a m' e n t u a
furažiirannu	f u! r a zh i^: r a n u
furažiirannu	f u! r a zh i^: r a n n u
ga	g a!
gal'a	g a! l' a
galdarin	g a! l d a r' i n
galifet	g a! l' i f' e t
galina	g a l' i! n a
galinka	g a! l' i n k a
galstukal	g a! l s t u k a l
galstukku	g a! l s t u k u
galstukku	g a! l s t u k k u
garažah	g a! r a zh a h
garažois	g a! r a zh o j s
garbaloh	g a! r b a l o h
garbaluo	g a! r b a l u o
garmonija	g a r m o! n' i j a
gavrila	g a v r' i! l a
gazietas	g a! z' i e t a s
gazietat	g a! z' i e t a t
gaziettah	g a! z' i e t a h
gaziettah	g a! z' i e t t a h
gaziettoih	g a! z' i e t o j h
gaziettoih	g a! z' i e t t o j h
gaziettupalazen	g a! z' i e t u p a l a z' e n
gaziettupalazen	g a! z' i e t t u p a l a z' e n
gazočurkumašinat	g a! z o ch u r k u m a sh i^ n a t
gebernii	g' e! b' e r n' i:
gektuarua	g' e! k t u a r u a
general'nii	g' e! n' e r a l' n' i:
general'nogo	g' i n' i r a! l' n a v a
genii	g' e! n' i:
genin	g' e! n' i n
genni	g' e! n' i
genni	g' e! n' n' i
geometriet	g' e! o m' e t r' i e t
germaanies	g' e! r m a: n' i e s
germaaniespäi	g' e! r m a: n' i e s p' ae j
germaaniessah	g' e! r m a: n' i e s a h
germaaniessah	g' e! r m a: n' i e s s a h
germaniespäi	g' e! r m a n' i e s p' ae j
germanskoit	g' e! r m a n s k o j t
get	g' e! t
gidrobioekspeditsies	g' i! d r o b' i o e k s p' e d' i t s' i e s
gimnu	g' i! m n u
gituaran	g' i! t u a r a n
glavannu	g l a! v a n u
glavannu	g l a! v a n n u
godu	g a d u!
gogol'an	g o! g o l' a n
golbečal	g o! l b' e ch a l
golbečat	g o! l b' e ch a t
golos	g o! l a s
golosal	g o! l o s a l
gor'a	g o! r' a
gor'al	g o! r' a l
gor'at	g a r' a! t
gor'ua	g o! r' u a
gora	g o! r a
goražile	g o! r a zh i^ l' e
gorelka	g o! r' e l k a
goril	g o! r' i l
gorničas	g o! r n' i ch a s
goroda	g o! r a d a
gorode	g o! r a d' i
gorodkas	g o! r o d k a s
gorodku	g o! r o d k u
goräššu	g o! r' ae sh u
goräššu	g o! r' ae sh sh u
goršočkaa	g o! r sh o ch k a:
gospitali	g o! s p' i t a l' i
gospitalih	g o! s p' i t a l' i h
gospitalis	g o! s p' i t a l' i s
gost'annu	g o! s t' a n u
gost'annu	g o! s t' a n n u
gost'učuajuh	g o! s t' u ch u a j u h
gostih	g o! s t' i h
gostii	g o! s t' i:
gostinicas	g o! s t' i n' i ts a s
gotovittih	g o! t o v' i t' i h
gotovittih	g o! t o v' i t' t' i h
gramatiekkua	g r a! m a t' i e k u a
gramatiekkua	g r a! m a t' i e k k u a
grammua	g r a! m u a
grammua	g r a! m m u a
graničnaja	g r a n' i! ch n a j a
granuattu	g r a! n u a t u
granuattu	g r a! n u a t t u
granuotoin	g r a! n u o t o j n
graždanskoi	g r a! zh d a n s k o j
grecijes	g r' e! ts i^ j e s
griba	g r' i! b a
gribaine	g r' i! b a j n' e
gribazet	g r' i! b a z' e t
gribažikko	g r' i! b a zh i^ k o
gribažikko	g r' i! b a zh i^ k k o
griboi	g r' i! b o j
gribua	g r' i! b u a
grigorjevič	g r' i! g o r j e v' i ch
grigorjevna	g r' i! g o r j e v n a
gruppoi	g r u! p o j
gruppoi	g r u! p p o j
gruuzumašin	g r u:! z u m a sh i^ n
gruzčiekannu	g r u! z ch i e k a n u
gruzčiekannu	g r u! z ch i e k a n n u
gu	g u!
guarbaluo	g u! a r b a l u o
guazuu	g u! a z u:
gumarinskoikse	g u! m a r' i n s k o j k s' e
gumarinskoin	g u! m a r' i n s k o j n
gumarič	g u! m a r' i ch
gusarovua	g u! s a r o v u a
guškala	g u! sh k a l a
gvardeiskoi	g v a! r d' e j s k o j
gvardieh	g v a! r d' i e h
gvardien	g v a! r d' i e n
hago	h a! g o
hagopala	h a! g o p a l a
hai	h a! j
haižule	h a! j zh u l' e
hakata	h a! k a t a
hakates	h a! k a t' e s
hakkai	h a! k a j
hakkai	h a! k k a j
hakkuammo	h a! k u a m o
hakkuammo	h a! k k u a m o
hakkuammo	h a! k u a m m o
hakkuammo	h a! k k u a m m o
haldivol	h a! l d' i v o l
halgei	h a! l g' e j
halgiemas	h a! l g' i e m a s
halgoloi	h a! l g o l o j
halgopinon	h a! l g o p' i n o n
halgosaruan	h a! l g o s a r u a n
halgou	h a! l g o u
halgua	h a! l g u a
halguo	h a! l g u o
hallin	h a! l' i n
hallin	h a! l' l' i n
hallot	h a! l o t
hallot	h a! l l o t
hamarua	h a! m a r u a
hambahal	h a! m b a h a l
hambahat	h a! m b a h a t
hambahii	h a! m b a h' i:
hambahil	h a! m b a h' i l
hambahitoi	h a! m b a h' i t o j
hammastu	h a! m a s t u
hammastu	h a! m m a s t u
hangei	h a! n g' e j
hanget	h a! n g' e t
hannes	h a! n' e s
hannes	h a! n' n' e s
hapannu	h a! p a n u
hapannu	h a! p a n n u
hapannuh	h a! p a n u h
hapannuh	h a! p a n n u h
hapannuttu	h a! p a n u t u
hapannuttu	h a! p a n n u t u
hapannuttu	h a! p a n u t t u
hapannuttu	h a! p a n n u t t u
happanemah	h a! p a n' e m a h
happanemah	h a! p p a n' e m a h
happaniš	h a! p a n' i sh
happaniš	h a! p p a n' i sh
happanou	h a! p a n o u
happanou	h a! p p a n o u
haravua	h a! r a v u a
hard'avuimmo	h a! r d' a v u j m o
hard'avuimmo	h a! r d' a v u j m m o
hardielois	h a! r d' i e l o j s
haritonovanke	h a! r' i t o n o v a n k' e
harjaitettu	h a! r j a j t' e t u
harjaitettu	h a! r j a j t' e t t u
harjaitti	h a! r j a j t' i
harjaitti	h a! r j a j t' t' i
harjavui	h a! r j a v u j
harjavuimmo	h a! r j a v u j m o
harjavuimmo	h a! r j a v u j m m o
harjavundu	h a! r j a v u n d u
harjavunnuh	h a! r j a v u n u h
harjavunnuh	h a! r j a v u n n u h
harjavunnut	h a! r j a v u n u t
harjavunnut	h a! r j a v u n n u t
harjavuttih	h a! r j a v u t' i h
harjavuttih	h a! r j a v u t' t' i h
harjoitatto	h a! r j o j t a t o
harjoitatto	h a! r j o j t a t t o
harju	h a! r j u
harmai	h a! r m a j
harmannuh	h a! r m a n u h
harmannuh	h a! r m a n n u h
harmannuos	h a! r m a n u o s
harmannuos	h a! r m a n n u o s
harpailtih	h a! r p a j l t' i h
harpaimmo	h a! r p a j m o
harpaimmo	h a! r p a j m m o
harpattih	h a! r p a t' i h
harpattih	h a! r p a t' t' i h
harvah	h a! r v a h
harvat	h a! r v a t
harvazeh	h a! r v a z' e h
harvažeh	h a! r v a zh e h
harvevunnuos	h a! r v' e v u n u o s
harvevunnuos	h a! r v' e v u n n u o s
harvu	h a! r v u
haskargei	h a! s k a r g' e j
hau	h a! u
haudah	h a! u d a h
haudoih	h a! u d o j h
haudu	h a! u d u
haudumua	h a! u d u m u a
haugi	h a! u g' i
haugie	h a! u g' i e
haukkumah	h a! u k u m a h
haukkumah	h a! u k k u m a h
haukkunuh	h a! u k u n u h
haukkunuh	h a! u k k u n u h
haukkuu	h a! u k u:
haukkuu	h a! u k k u:
haukui	h a! u k u j
haukundah	h a! u k u n d a h
haukut	h a! u k u t
havahtih	h a! v a h t' i h
havačui	h a! v a ch u j
havačuimmo	h a! v a ch u j m o
havačuimmo	h a! v a ch u j m m o
havačuitgo	h a! v a ch u j t g o
havvannou	h a! v a n o u
havvannou	h a! v v a n o u
havvannou	h a! v a n n o u
havvannou	h a! v v a n n o u
havvas	h a! v a s
havvas	h a! v v a s
havvat	h a! v a t
havvat	h a! v v a t
havvattih	h a! v a t' i h
havvattih	h a! v v a t' i h
havvattih	h a! v a t' t' i h
havvattih	h a! v v a t' t' i h
havvattu	h a! v a t u
havvattu	h a! v v a t u
havvattu	h a! v a t t u
havvattu	h a! v v a t t u
havvois	h a! v o j s
havvois	h a! v v o j s
havvolois	h a! v o l o j s
havvolois	h a! v v o l o j s
havvotul	h a! v o t u l
havvotul	h a! v v o t u l
hebo	h' e! b o
heboh	h' e! b o h
heboine	h' e! b o j n' e
heboizeh	h' e! b o j z' e h
heboloil	h' e! b o l o j l
heboloile	h' e! b o l o j l' e
heboloin	h' e! b o l o j n
hebon	h' e! b o n
hebozel	h' e! b o z' e l
hebozele	h' e! b o z' e l' e
heboštu	h' e! b o sh t u
hebožen	h' e! b o zh e n
hebožennu	h' e! b o zh e n u
hebožennu	h' e! b o zh e n n u
hebožet	h' e! b o zh e t
hebožien	h' e! b o zh i^ e n
hebožii	h' e! b o zh i^:
hebuo	h' e! b u o
hedi	h' e! d' i
hei	h' e! j
heidy	h' e! j d' y
heijän	h' e! j ae n
heil	h' e! j l
heile	h' e! j l' e
heille	h' e! j l' e
heille	h' e! j l' l' e
heilutteli	h' e! j l u t' e l' i
heilutteli	h' e! j l u t' t' e l' i
heilutti	h' e! j l u t' i
heilutti	h' e! j l u t' t' i
heimovellet	h' e! j m o v' e l' e t
heimovellet	h' e! j m o v' e l' l' e t
hein'arres	h' e! j n' a r' e s
hein'arres	h' e! j n' a r' r' e s
heinarret	h' e! j n a r' e t
heinarret	h' e! j n a r' r' e t
heinienke	h' e! j n' i e n k' e
heinii	h' e! j n' i:
heinis	h' e! j n' i s
heiniä	h' e! j n' i ae
heiny	h' e! j n' y
heinykuudu	h' e! j n' y k u: d u
heinykuun	h' e! j n' y k u: n
heinysarai	h' e! j n' y s a r a j
heinysaruah	h' e! j n' y s a r u a h
heinytopat	h' e! j n' y t o p a t
heinälleh	h' e! j n' ae l' e h
heinälleh	h' e! j n' ae l' l' e h
heinänniittäjän	h' e! j n' ae n' i: t' ae j ae n
heinänniittäjän	h' e! j n' ae n' n' i: t' ae j ae n
heinänniittäjän	h' e! j n' ae n' i: t' t' ae j ae n
heinänniittäjän	h' e! j n' ae n' n' i: t' t' ae j ae n
heinärgi	h' e! j n' ae r g' i
